lat;lon;name
[42.5638369,42.336932899999994];[8.750750199999999,9.0153921];(CALACUCCIA,CALVI)
[42.6370782,42.5638369];[8.935262199999999,8.750750199999999];(ILE_ROUSSE,CALVI)
[42.6370782,42.336932899999994];[8.935262199999999,9.0153921];(CALACUCCIA,ILE_ROUSSE)
[42.336932899999994,42.5467846];[9.0153921,9.1854941];(CALACUCCIA,PIETRALBA)
[42.6370782,42.5467846];[8.935262199999999,9.1854941];(PIETRALBA,ILE_ROUSSE)
[42.3052904,42.336932899999994];[9.1511935,9.0153921];(CORTE,CALACUCCIA)
[42.3052904,42.5467846];[9.1511935,9.1854941];(CORTE,PIETRALBA)
[42.3052904,42.2604939];[9.1511935,9.5458604];(CORTE,ALISTRO)
[42.5538,42.2604939];[9.4817,9.5458604];(ALISTRO,BASTIA)
[42.3052904,41.8562794];[9.1511935,9.398569];(SOLENZARA,CORTE)
[42.2604939,41.8562794];[9.5458604,9.398569];(SOLENZARA,ALISTRO)
[42.6521,42.6370782];[9.1985,8.935262199999999];(ILE_ROUSSE,SAN_PIETRO_DI_TENDA)
[42.6521,42.5467846];[9.1985,9.1854941];(PIETRALBA,SAN_PIETRO_DI_TENDA)
[42.8749176,43.005320000000005];[9.4312366,9.358310000000001];(CAGNANO,CAP_CORSE)
[42.632069200000004,42.5538];[9.3579044,9.4817];(BASTIA,OLETTA)
[42.632069200000004,42.5467846];[9.3579044,9.1854941];(OLETTA,PIETRALBA)
[42.6521,42.632069200000004];[9.1985,9.3579044];(OLETTA,SAN_PIETRO_DI_TENDA)
[42.632069200000004,42.8749176];[9.3579044,9.4312366];(OLETTA,CAGNANO)
