Vor,5000,8,,,,,,,,,
destination,gray,osp_c,osp_f,osp_d,osp_s,dsp_f,dsp_d,dsp_s,gsp_f,gsp_d,gsp_s
Sol,100,23.33,0,1.82,74.85,0,22.42,77.58,66.06,33.64,0.3
Ali,100,12.12,0,1.82,86.06,0,12.12,87.88,68.18,30,1.82
Cor,81.8,1.48,0,0.74,97.78,0,1.48,98.52,74.44,16.3,9.26
Cala,81.8,4.44,0,1.48,94.07,0,5.19,94.81,71.48,23.33,5.19
Calv,100,13.64,0,1.52,84.85,0,13.94,86.06,59.09,37.88,3.03
Ile,81.8,3.7,0,1.85,94.44,0,4.44,95.56,71.11,20.37,8.52
Pie,54.5,0,0,0,100,0,0,100,83.89,6.67,9.44
Bas,100,1.52,0,0.91,97.58,0,1.82,98.18,66.67,26.97,6.36
San,72.7,0.42,0,0,99.58,0,0.42,99.58,78.33,11.67,10
Ole,81.8,0,0,0,100,0,0,100,74.44,12.22,13.33
Cag,100,11.82,0,0.91,87.27,0,11.21,88.79,62.42,29.09,8.48
Cap,100,19.39,0,3.94,76.67,0,20.91,79.09,73.94,23.64,2.42
,,,,,,,,,,,
Vor,2500,8,,,,,,,,,
destination,gray,osp_c,osp_f,osp_d,osp_s,dsp_f,dsp_d,dsp_s,gsp_f,gsp_d,gsp_s
Sol,54.5,67.78,0,1.11,31.11,0,68.89,31.11,67.22,32.78,0
Ali,90.9,41.33,0,0,58.67,2.33,38.67,59,78.33,21.67,0
Cor,100,25.15,0,0,74.85,1.21,24.24,74.55,77.27,22.73,0
Cala,100,40.91,0,0.91,58.18,3.64,37.58,58.79,79.39,18.48,2.12
Calv,81.8,65.93,0,0,34.07,4.44,60.37,35.19,69.63,27.78,2.59
Ile,90.9,35.33,0,0.67,64,1.67,34.33,64,69.67,26,4.33
Pie,100,21.52,0,0,78.48,0,21.21,78.79,79.09,12.42,8.48
Bas,100,36.06,0,0.3,63.64,1.52,34.85,63.64,77.88,21.82,0.3
San,90.9,15,0,0,85,0,14.67,85.33,77.33,16.33,6.33
Ole,100,24.85,0,0.3,74.85,0,25.15,74.85,75.15,8.48,16.36
Cag,90.9,53.33,0,0,46.67,5,48.33,46.67,75.33,23.33,1.33
Cap,72.7,73.75,0,0,26.25,6.67,66.67,26.67,80,20,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Del,5000,8,,,,,,,,,
destination,gray,osp_c,osp_f,osp_d,osp_s,dsp_f,dsp_d,dsp_s,gsp_f,gsp_d,gsp_s
Sol,100,14.55,0,2.12,83.33,0,15.76,84.24,34.24,65.15,0.61
Ali,100,0.91,0,0,99.09,0,0.91,99.09,31.52,62.42,6.06
Cor,81.8,0,0,0,100,0,0,100,43.33,41.48,15.19
Cala,81.8,0,0,0,100,0,0,100,42.59,38.15,19.26
Calv,90.9,2.33,0,0.33,97.33,0,2.33,97.67,46,37.33,16.67
Ile,72.7,0,0,0,100,0,0,100,42.08,45,12.92
Pie,54.5,0,0,0,100,0,0,100,48.33,11.67,40
Bas,81.8,0,0,0,100,0,0,100,52.22,27.78,20
San,63.6,0,0,0,100,0,0,100,56.67,5.24,38.1
Ole,63.6,0,0,0,100,0,0,100,48.1,19.05,32.86
Cag,81.8,8.15,0,2.22,89.63,0,9.26,90.74,39.63,49.26,11.11
Cap,90.9,10.67,0,2,87.33,0,11.67,88.33,38.67,47.67,13.67
,,,,,,,,,,,
,,,,,,,,,,,
Del,2500,8,,,,,,,,,
destination,gray,osp_c,osp_f,osp_d,osp_s,dsp_f,dsp_d,dsp_s,gsp_f,gsp_d,gsp_s
Sol,45.5,68.67,0,1.33,30,0,70,30,34.67,65.33,0
Ali,100,47.58,0,0.3,52.12,1.52,46.36,52.12,50,49.39,0.61
