%% LaTeX2e file `del-2500-8.csv'
%% generated by the `filecontents' environment
%% from source `del_2500_8' on 2020/08/29.
%%
destination,gray,osp_c,osp_f,osp_d,osp_s,dsp_f,dsp_d,dsp_s,gsp_f,gsp_d,gsp_s
Sol,45.5,68.67,0,1.33,30,0,70,30,34.67,65.33,0
Ali,100,47.58,0,0.3,52.12,1.52,46.36,52.12,50,49.39,0.61
Cor,90.9,27.33,0,0.33,72.33,0.67,26.67,72.67,59.33,39,1.67
Cala,90.9,27.33,0,0,72.67,0.33,26.67,73,59.33,40.33,0.33
Calv,90.9,40.33,0,1.67,58,2,40.33,57.67,54.67,34,11.33
Ile,90.9,21.67,0,0,78.33,0,21,79,47,43,10
Pie,90.9,24.33,0,0,75.67,0,24,76,76.67,3,20.33
Bas,90.9,25,0,1,74,0,24,76,66.33,20.33,13.33
San,72.7,12.92,0,1.25,85.83,0,14.17,85.83,70,22.92,7.08
Ole,72.7,7.08,0,0,92.92,0,7.08,92.92,79.58,7.08,13.33
Cag,90.9,47.67,0,0.33,52,1,46.33,52.67,66.33,23.67,10
Cap,90.9,67.33,0,0,32.67,3.67,63.33,33,35.67,34.33,9
