%% LaTeX2e file `hyb-5000-4.csv'
%% generated by the `filecontents' environment
%% from source `hyb_5000_4' on 2020/08/29.
%%
destination,gray,osp_c,osp_f,osp_d,osp_s,dsp_f,dsp_d,dsp_s,gsp_f,gsp_d,gsp_s
Sol,100,15.45,0,0.91,83.64,0,16.06,83.94,41.21,56.97,1.82
Ali,100,0,0,0.61,99.39,0,0,100,45.45,38.18,16.36
Cor,81.8,0,0,0.37,99.63,0,0,100,56.3,21.85,21.85
Cala,81.8,0,0,0,100,0,0,100,56.67,25.56,17.78
Calv,90.9,1,0,0.67,98.33,0,1.33,98.67,39.33,60,0.67
Ile,72.7,0,0,0.42,99.58,0,0,100,50,40,10
Pie,54.5,0,0,0,100,0,0,100,83.89,8.33,7.78
Bas,81.8,0,0,0,100,0,0,100,55.56,25.93,18.52
San,63.6,0,0,0,100,0,0,100,65.71,6.19,28.1
Ole,63.6,0,0,0,100,0,0,100,61.43,7.14,31.43
Cag,81.8,9.26,0,0.37,90.37,0,9.26,90.74,70.37,29.63,0
Cap,90.9,9.67,0,0.67,89.67,0,9.67,90.33,44.67,54.33,1
