%% LaTeX2e file `vor-2500-8.csv'
%% generated by the `filecontents' environment
%% from source `vor_2500_8' on 2020/08/29.
%%
destination,gray,osp_c,osp_f,osp_d,osp_s,dsp_f,dsp_d,dsp_s,gsp_f,gsp_d,gsp_s
Sol,54.5,67.78,0,1.11,31.11,0,68.89,31.11,67.22,32.78,0
Ali,90.9,41.33,0,0,58.67,2.33,38.67,59,78.33,21.67,0
Cor,100,25.15,0,0,74.85,1.21,24.24,74.55,77.27,22.73,0
Cala,100,40.91,0,0.91,58.18,3.64,37.58,58.79,79.39,18.48,2.12
Calv,81.8,65.93,0,0,34.07,4.44,60.37,35.19,69.63,27.78,2.59
Ile,90.9,35.33,0,0.67,64,1.67,34.33,64,69.67,26,4.33
Pie,100,21.52,0,0,78.48,0,21.21,78.79,79.09,12.42,8.48
Bas,100,36.06,0,0.3,63.64,1.52,34.85,63.64,77.88,21.82,0.3
San,90.9,15,0,0,85,0,14.67,85.33,77.33,16.33,6.33
Ole,100,24.85,0,0.3,74.85,0,25.15,74.85,75.15,8.48,16.36
Cag,90.9,53.33,0,0,46.67,5,48.33,46.67,75.33,23.33,1.33
Cap,72.7,73.75,0,0,26.25,6.67,66.67,26.67,80,20,0
