%% LaTeX2e file `vor-5000-8.csv'
%% generated by the `filecontents' environment
%% from source `osp_vor_5000_8' on 2020/08/29.
%%
destination,gray,osp_c,osp_f,osp_d,osp_s,dsp_f,dsp_d,dsp_s,gsp_f,gsp_d,gsp_s
Sol,100,23.33,0,1.82,74.85,0,22.42,77.58,66.06,33.64,0.3
Ali,100,12.12,0,1.82,86.06,0,12.12,87.88,68.18,30,1.82
Cor,81.8,1.48,0,0.74,97.78,0,1.48,98.52,74.44,16.3,9.26
Cala,81.8,4.44,0,1.48,94.07,0,5.19,94.81,71.48,23.33,5.19
Calv,100,13.64,0,1.52,84.85,0,13.94,86.06,59.09,37.88,3.03
Ile,81.8,3.7,0,1.85,94.44,0,4.44,95.56,71.11,20.37,8.52
Pie,54.5,0,0,0,100,0,0,100,83.89,6.67,9.44
Bas,100,1.52,0,0.91,97.58,0,1.82,98.18,66.67,26.97,6.36
San,72.7,0.42,0,0,99.58,0,0.42,99.58,78.33,11.67,10
Ole,81.8,0,0,0,100,0,0,100,74.44,12.22,13.33
Cag,100,11.82,0,0.91,87.27,0,11.21,88.79,62.42,29.09,8.48
Cap,100,19.39,0,3.94,76.67,0,20.91,79.09,73.94,23.64,2.42
