"budget, whites, grays, blacks, abort, h_abort, success, delivered, fail"
1000,0.0,6.7,93.3,95.8,8.3,3.7,0.5,0.0
2000,0.1,12.8,87.2,96.6,7.4,2.4,1.1,0.0
3000,0.1,24.9,75.0,93.5,10.1,3.8,1.9,0.8
4000,0.6,43.3,56.1,92.4,13.1,4.4,2.9,0.3
5000,0.2,59.3,40.4,90.8,9.8,6.7,1.4,1.2
6000,0.8,64.8,34.5,88.8,14.6,7.3,2.5,1.4
7000,0.8,76.3,22.9,87.8,15.1,6.5,4.2,1.4
8000,1.0,83.4,15.6,91.3,15.0,4.7,3.3,0.8
9000,1.2,91.2,7.5,87.9,16.8,8.6,2.5,1.0
10000,1.3,93.6,5.2,85.5,17.0,9.0,4.1,1.3
11000,1.3,94.8,3.9,81.6,23.5,12.4,5.3,0.7
12000,2.3,96.3,1.4,75.4,25.7,15.5,6.7,2.3
13000,2.0,96.6,1.4,79.8,24.5,13.4,5.9,1.0
14000,3.1,96.7,0.2,76.4,27.7,16.0,6.0,1.6
15000,2.6,96.8,0.6,76.7,33.9,15.5,6.9,0.9
16000,3.4,96.2,0.4,70.5,37.1,20.5,7.5,1.4
17000,2.6,97.4,0.0,64.5,35.4,24.2,10.2,1.1
18000,4.7,95.2,0.2,64.2,32.3,24.8,9.8,1.3
19000,5.5,94.5,0.0,60.8,32.5,26.9,11.0,1.4
20000,4.2,95.8,0.0,58.9,37.9,28.9,11.0,1.2
21000,6.1,93.9,0.0,61.6,33.2,25.6,11.8,1.0
22000,4.7,95.2,0.0,59.2,32.2,29.0,10.9,0.9
23000,6.8,93.2,0.0,48.7,33.6,37.5,12.5,1.3
24000,6.3,93.7,0.0,49.6,35.3,36.0,13.7,0.7
25000,5.4,94.6,0.0,47.7,32.7,37.1,13.9,1.2
26000,7.8,92.2,0.0,44.8,32.2,43.3,11.4,0.5
27000,8.3,91.7,0.0,45.7,29.9,39.2,14.4,0.6
28000,9.3,90.7,0.0,44.1,32.0,45.3,9.8,0.7
29000,8.7,91.3,0.0,36.0,24.3,48.2,15.4,0.4
30000,11.3,88.7,0.0,35.0,23.1,50.2,14.2,0.6
31000,10.5,89.5,0.0,40.0,26.6,47.0,12.4,0.5
32000,10.4,89.6,0.0,31.7,25.3,56.0,12.3,0.0
33000,13.3,86.7,0.0,30.5,24.5,56.9,11.7,0.9
34000,13.0,87.0,0.0,27.7,23.9,60.6,11.3,0.4
35000,14.8,85.2,0.0,26.4,22.0,63.1,10.2,0.4
36000,14.7,85.3,0.0,24.7,18.9,63.6,11.4,0.3
37000,16.5,83.5,0.0,24.4,19.7,64.9,10.5,0.3
38000,14.3,85.7,0.0,24.9,17.7,64.2,10.6,0.4
39000,16.8,83.2,0.0,24.8,20.2,67.3,7.7,0.2
40000,18.8,81.3,0.0,19.9,18.3,70.3,9.4,0.4
41000,16.4,83.6,0.0,17.8,14.1,71.3,10.6,0.3
42000,19.4,80.6,0.0,14.3,11.5,77.6,8.0,0.1
43000,19.6,80.4,0.0,17.4,14.7,73.4,9.1,0.2
44000,22.1,77.9,0.0,16.0,13.5,76.1,7.9,0.0
45000,18.1,81.9,0.0,18.0,15.0,73.1,8.5,0.4
46000,21.4,78.6,0.0,12.8,11.9,77.5,9.6,0.1
47000,21.1,78.9,0.0,14.8,13.5,78.4,6.6,0.2
48000,23.5,76.5,0.0,6.8,6.7,84.8,8.2,0.2
49000,23.1,76.9,0.0,9.6,8.7,82.8,7.3,0.2
50000,21.7,78.3,0.0,15.2,14.5,78.9,5.9,0.0
