"budget, whites, grays, blacks, abort, success, delivered, fail, fail_noway"
200,0.0,13.5,86.5,0,23.2,7.9,7.0,61.9
400,0.2,50.8,49.0,0,6.9,3.0,8.8,81.2
600,1.0,65.8,33.1,0,4.4,1.3,7.4,86.8
800,1.0,81.2,17.7,0,5.1,2.6,5.7,86.5
1000,0.8,88.5,10.6,0,3.9,0.8,1.2,94.1
1200,2.1,93.8,4.2,0,3.0,2.2,3.1,91.7
1400,1.9,96.7,1.5,0,4.3,1.7,2.0,91.9
1600,2.3,97.5,0.2,0,3.2,1.3,1.6,93.9
1800,2.1,97.9,0.0,0,3.7,3.4,1.9,91.0
2000,5.4,94.6,0.0,0,4.7,3.6,1.8,89.9
2200,6.3,93.7,0.0,0,2.5,1.9,0.4,95.2
2400,5.8,94.2,0.0,0,3.5,1.9,0.9,93.8
2600,6.9,93.1,0.0,0,4.4,3.5,1.8,90.3
2800,8.1,91.9,0.0,0,2.6,1.4,0.4,95.6
3000,11.2,88.8,0.0,0,3.1,1.4,0.7,94.8
3200,11.2,88.8,0.0,0,2.6,2.2,0.2,95.0
3400,15.2,84.8,0.0,0,4.9,0.5,0.2,94.4
3600,12.3,87.7,0.0,0,4.0,0.3,0.7,95.0
3800,16.3,83.7,0.0,0,3.7,0.2,0.2,95.8
4000,14.8,85.2,0.0,0,3.5,0.7,0.0,95.8
4200,19.2,80.8,0.0,0,3.4,0.8,0.0,95.8
4400,24.8,75.2,0.0,0,5.3,0.5,0.0,94.2
4600,23.1,76.9,0.0,0,5.9,0.9,0.0,93.2
4800,29.8,70.2,0.0,0,2.6,0.0,0.0,97.4
5000,21.9,78.1,0.0,0,1.7,0.5,0.0,97.9
