"budget, whites, grays, blacks, abort, success, delivered, fail"
1000,0.0,11.2,88.8,0,19.1,15.7,39.5,25.8
2000,0.3,46.9,52.8,0,6.3,6.3,51.3,36.1
3000,0.5,88.5,11.0,0,3.3,5.3,49.6,41.9
4000,0.7,98.6,0.8,0,3.8,6.5,51.7,38.0
5000,0.6,99.3,0.1,0,3.9,7.3,42.8,46.0
6000,1.3,98.6,0.1,0,3.8,8.0,42.0,46.2
7000,1.5,98.5,0.0,0,4.5,11.2,41.6,42.7
8000,2.2,97.8,0.0,0,3.8,9.8,38.9,47.5
9000,2.0,98.0,0.0,0,3.9,11.9,36.8,47.4
10000,4.1,95.9,0.0,0,4.3,13.3,36.0,46.3
11000,4.0,96.0,0.0,0,6.7,12.2,39.8,41.3
12000,5.9,94.1,0.0,0,6.8,13.8,37.5,42.0
13000,5.6,94.4,0.0,0,6.2,14.2,32.1,47.4
14000,8.3,91.7,0.0,0,7.1,17.2,30.6,45.2
15000,8.1,91.9,0.0,0,6.3,17.5,28.9,47.2
16000,9.3,90.8,0.0,0,8.3,19.1,28.4,44.3
17000,11.2,88.8,0.0,0,7.5,21.9,29.2,41.4
18000,13.5,86.5,0.0,0,10.1,19.5,25.6,44.7
19000,12.9,87.1,0.0,0,9.3,19.8,26.2,44.7
20000,15.1,84.9,0.0,0,8.3,21.0,21.4,49.3
21000,18.2,81.8,0.0,0,10.5,22.5,25.1,41.9
22000,19.7,80.3,0.0,0,10.8,22.2,23.4,43.7
23000,22.3,77.7,0.0,0,12.8,21.9,20.7,44.6
24000,21.3,78.7,0.0,0,12.0,20.1,18.7,49.2
25000,26.2,73.8,0.0,0,14.1,24.0,18.1,43.8
26000,24.1,75.9,0.0,0,14.2,21.6,18.9,45.3
27000,26.0,74.0,0.0,0,14.0,22.0,18.4,45.6
28000,32.1,67.9,0.0,0,15.4,21.5,17.4,45.7
29000,32.3,67.7,0.0,0,14.5,23.4,14.9,47.3
30000,35.8,64.2,0.0,0,15.5,24.8,13.4,46.3
31000,41.0,59.0,0.0,0,12.3,21.1,10.4,56.1
32000,31.3,68.7,0.0,0,16.3,17.1,10.3,56.3
33000,50.2,49.8,0.0,0,16.3,20.9,12.5,50.3
34000,49.8,50.2,0.0,0,16.7,21.9,9.4,52.1
35000,50.3,49.7,0.0,0,20.1,22.6,7.8,49.6
36000,48.7,51.3,0.0,0,14.9,19.1,10.5,55.5
37000,52.2,47.8,0.0,0,17.1,19.1,9.4,54.4
38000,59.1,40.9,0.0,0,20.5,19.8,5.4,54.3
39000,59.0,41.0,0.0,0,16.2,24.7,6.8,52.3
40000,67.6,32.4,0.0,0,19.6,16.8,7.9,55.7
41000,65.2,34.8,0.0,0,19.6,19.6,5.7,55.1
42000,68.7,31.3,0.0,0,17.2,18.1,4.1,60.6
43000,68.0,32.0,0.0,0,18.4,17.9,5.2,58.4
44000,72.6,27.4,0.0,0,16.8,17.4,4.3,61.5
45000,74.3,25.7,0.0,0,20.2,14.3,8.1,57.4
46000,77.7,22.3,0.0,0,21.0,17.1,3.9,58.0
47000,75.2,24.8,0.0,0,12.4,10.4,2.7,74.5
48000,81.0,19.0,0.0,0,17.1,13.5,2.7,66.7
49000,83.3,16.7,0.0,0,21.4,13.4,0.9,64.4
50000,80.2,19.8,0.0,0,16.9,18.6,1.8,62.7
