"budget, whites, grays, blacks, abort, success, delivered, fail"
200,0.2,19.6,80.2,0,5.0,14.9,80.1
400,0.4,68.3,31.2,0,3.6,17.0,79.4
600,0.8,89.0,10.2,0,5.0,16.3,78.7
800,1.0,96.5,2.5,0,6.3,28.8,64.9
1000,2.7,97.1,0.2,0,14.9,31.3,53.8
1200,2.3,97.7,0.0,0,19.1,37.6,43.2
1400,4.8,95.2,0.0,0,23.3,45.8,30.9
1600,3.3,96.7,0.0,0,25.2,42.8,32.0
1800,7.7,92.3,0.0,0,38.8,38.7,22.5
2000,8.3,91.7,0.0,0,36.6,40.1,23.3
2200,7.9,92.1,0.0,0,50.4,35.9,13.7
2400,11.0,89.0,0.0,0,48.0,35.0,17.0
2600,9.0,91.0,0.0,0,51.6,41.2,7.2
2800,14.6,85.4,0.0,0,66.9,28.7,4.4
3000,13.5,86.5,0.0,0,66.5,29.2,4.4
3200,19.0,81.0,0.0,0,65.5,30.9,3.5
3400,29.4,70.6,0.0,0,77.5,20.9,1.6
3600,21.5,78.5,0.0,0,77.7,21.0,1.3
3800,30.6,69.4,0.0,0,78.4,20.4,1.3
4000,28.3,71.7,0.0,0,78.7,20.1,1.2
4200,31.5,68.5,0.0,0,83.1,16.1,0.8
4400,37.5,62.5,0.0,0,86.4,13.6,0.0
4600,38.8,61.2,0.0,0,88.8,9.9,1.3
4800,43.5,56.5,0.0,0,93.7,5.7,0.6
5000,39.0,61.0,0.0,0,90.0,9.2,0.8
